thermal_demand,electricity_price,co2_price,gas_price
0.146945234,50.05,82.25,70.807
0.150044462,41.33,82.25,70.807
0.156925868,43.22,82.25,70.807
0.174050384,45.46,82.25,70.807
0.217513679,37.67,82.25,70.807
0.299316685,39.7,82.25,70.807
0.354162045,40.59,82.25,70.807
0.331608282,43.26,82.25,70.807
0.306230122,49.66,82.25,70.807
0.285126366,70.05,82.25,70.807
0.26300267,76.79,82.25,70.807
0.25029687,84.1,82.25,70.807
0.243590226,94.74,82.25,70.807
0.243733152,96.8,82.25,70.807
0.246778243,97.17,82.25,70.807
0.25426715,101,82.25,70.807
0.267534384,126.6,82.25,70.807
0.285667163,149.97,82.25,70.807
0.297276272,146.33,82.25,70.807
0.283749479,140.28,82.25,70.807
0.262676999,121.88,82.25,70.807
0.218467954,102.61,82.25,70.807
0.150722764,97.46,82.25,70.807
0.144173516,85.16,82.25,70.807
0.172760038,57.08,82.25,70.807
0.1774486,52.59,82.25,70.807
0.184976888,48.97,82.25,70.807
0.198377213,34.94,82.25,70.807
0.233433634,29.56,82.25,70.807
0.309078154,33.97,82.25,70.807
0.362155312,34.52,82.25,70.807
0.349627619,41.8,82.25,70.807
0.329310949,48.95,82.25,70.807
0.311257883,60.01,82.25,70.807
0.289021173,70.09,82.25,70.807
0.275679903,66.26,82.25,70.807
0.267210819,64.54,82.25,70.807
0.265985387,46.96,82.25,70.807
0.270168445,40.01,82.25,70.807
0.279329092,29.11,82.25,70.807
0.289540052,32.76,82.25,70.807
0.306071824,42.97,82.25,70.807
0.319493586,60.96,82.25,70.807
0.308095897,60.94,82.25,70.807
0.287353215,54.12,82.25,70.807
0.246195958,46.16,82.25,70.807
0.176693836,46.29,82.25,70.807
0.169606834,32.93,82.25,70.807
0.165594067,0.31,82.25,70.807
0.170088151,-0.01,82.25,70.807
0.177304171,-0.07,82.25,70.807
0.190148659,-1.05,82.25,70.807
0.223750964,-1,82.25,70.807
0.2962578,0.32,82.25,70.807
0.347133353,37.55,82.25,70.807
0.3351253,88.76,82.25,70.807
0.315651352,122.93,82.25,70.807
0.298347115,110.17,82.25,70.807
0.277032769,93.38,82.25,70.807
0.264244886,90.73,82.25,70.807
0.256127093,82.37,82.25,70.807
0.254952491,80.9,82.25,70.807
0.258962039,80.99,82.25,70.807
0.267742709,98.05,82.25,70.807
0.277530124,123.51,82.25,70.807
0.293376169,148.49,82.25,70.807
0.306241207,138,82.25,70.807
0.295316286,117.64,82.25,70.807
0.275433996,117.71,82.25,70.807
0.235983915,95.95,82.25,70.807
0.169364694,105.68,82.25,70.807
0.162571656,95.26,82.25,70.807
0.165594067,103.7,82.25,70.807
0.170088151,108.27,82.25,70.807
0.177304171,105.92,82.25,70.807
0.190148659,103.41,82.25,70.807
0.223750964,102.71,82.25,70.807
0.2962578,114.23,82.25,70.807
0.347133353,156.91,82.25,70.807
0.3351253,182.64,82.25,70.807
0.315651352,178.91,82.25,70.807
0.298347115,190,82.25,70.807
0.277032769,189.88,82.25,70.807
0.264244886,182.42,82.25,70.807
0.256127093,182.46,82.25,70.807
0.254952491,179.59,82.25,70.807
0.258962039,179,82.25,70.807
0.267742709,180.93,82.25,70.807
0.277530124,166.69,82.25,70.807
0.293376169,189.88,82.25,70.807
0.306241207,184.94,82.25,70.807
0.295316286,178.99,82.25,70.807
0.275433996,156.12,82.25,70.807
0.235983915,140.92,82.25,70.807
0.169364694,137.92,82.25,70.807
0.162571656,97.56,82.25,70.807
0.179479077,105.31,82.25,91.338
0.184349989,97.29,82.25,91.338
0.192171069,84.5,82.25,91.338
0.206092564,75.38,82.25,91.338
0.242512411,79.11,82.25,91.338
0.321098923,94.79,82.25,91.338
0.376240375,99.16,82.25,91.338
0.36322545,101.15,82.25,91.338
0.342118618,129.56,82.25,91.338
0.323363426,113.37,82.25,91.338
0.300261879,94.43,82.25,91.338
0.286401736,98.1,82.25,91.338
0.277603269,95.68,82.25,91.338
0.276330177,96.8,82.25,91.338
0.280675924,107.32,82.25,91.338
0.29019285,119.48,82.25,91.338
0.300800937,137.28,82.25,91.338
0.317975669,148.09,82.25,91.338
0.331919435,139.88,82.25,91.338
0.320078463,135.75,82.25,91.338
0.29852905,119.93,82.25,91.338
0.255771092,98.09,82.25,91.338
0.18356587,118.71,82.25,91.338
0.176203238,99.68,82.25,91.338
0.172760038,99.85,82.25,92.598
0.1774486,101.32,82.25,92.598
0.184976888,110.01,82.25,92.598
0.198377213,111.55,82.25,92.598
0.233433634,123.37,82.25,92.598
0.309078154,149.94,82.25,92.598
0.362155312,185.92,82.25,92.598
0.349627619,228.25,82.25,92.598
0.329310949,228.92,82.25,92.598
0.311257883,212.9,82.25,92.598
0.289021173,215.5,82.25,92.598
0.275679903,231.9,82.25,92.598
