id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,producers-0,forks-0,20,DN_30,296.762932,1,3561.1551839999997,1.48381466
1,producers-1,forks-3,20,DN_30,7.568934,1,90.827208,0.03784467
2,forks-0,forks-1,10,DN_30,265.799699,1,1594.7981939999997,0.6644992475
3,forks-1,forks-2,20,DN_30,265.1352,1,3181.6223999999997,1.325676
4,forks-2,forks-3,40,,0.0,0,0.0,0.0
5,forks-3,forks-4,30,DN_30,7.531089,1,135.55960199999998,0.056483167499999994
6,forks-4,forks-5,30,DN_30,7.474606,1,134.54290799999998,0.056059545
7,forks-5,forks-6,30,,0.0,0,0.0,0.0
8,forks-6,forks-7,20,DN_30,10.975177,-1,131.702124,0.054875885000000006
9,forks-7,forks-8,10,DN_30,11.002683,-1,66.01609799999999,0.027506707499999998
10,forks-8,forks-0,30,DN_30,29.479418,-1,530.629524,0.221095635
11,forks-2,consumers-0,10,DN_30,258.746867,1,1552.4812020000002,0.6468671675
12,forks-2,consumers-1,10,DN_30,5.062657,1,30.375942,0.012656642499999999
13,forks-5,consumers-2,10,DN_30,7.418546,1,44.511276,0.018546365
14,forks-6,consumers-3,10,DN_30,10.920301,1,65.521806,0.0273007525
15,forks-8,consumers-4,10,DN_30,18.255639,1,109.533834,0.0456390975
