Hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
0,1355.260278,19.6,32,19.74404515829909,129.3629346263706,91,1405.260278,69.6,87,69.74404515829909
1,1319.940054,20.3,31,20.60839738799021,127.5660561245043,90,1369.940054,70.3,92,70.60839738799021
2,1323.804362,21.2,28,21.04057350283576,126.948536336315,83,1373.804362,71.2,88,71.04057350283577
3,1294.556292,20.5,27,21.18463220778428,128.1997231985712,79,1344.556292,70.5,91,71.18463220778428
4,1351.744605,20.5,23,22.62521925726946,128.9978188259182,77,1401.744605,70.5,84,72.62521925726946
5,1373.535261,21.5,18,22.33710184737243,127.8693335767937,75,1423.535261,71.5,87,72.33710184737242
6,1374.041222,21.1,17,22.19304314242391,131.6658844471579,77,1424.041222,71.1,83,72.1930431424239
7,1363.342507,21.5,17,47.72559114958122,135.06670279879,77,1413.342507,71.5,83,97.72559114958122
8,1373.574232,23.1,18,22.33710184737243,136.5545218502761,87,1423.574232,73.1,83,72.33710184737242
9,1372.595636,24.6,23,21.90492573252687,140.0279230704372,84,1422.595636,74.6,86,71.90492573252688
10,1399.479932,26.1,23,21.76086702757836,136.5452717889749,102,1449.479932,76.1,87,71.76086702757836
11,1398.466911,26.6,24,59.77157162841728,136.1876131821987,111,1448.466911,76.6,85,109.7715716284173
12,1422.685458,26.6,26,21.61680832262984,136.2044013820083,117,1472.685458,76.6,88,71.61680832262984
13,1418.395876,26.9,26,21.47274961768132,134.5390935097981,134,1468.395876,76.9,94,71.47274961768132
14,1423.449251,27.7,25,21.3286909127328,134.4271405246806,99,1473.449251,77.7,83,71.3286909127328
15,1427.753967,28.7,24,21.47274961768132,132.9568724874369,101,1477.753967,78.7,89,71.47274961768132
16,1398.054936,28.1,24,21.3286909127328,132.7173545545351,103,1448.054936,78.1,90,71.3286909127328
17,1426.031239,27.9,21,21.47274961768132,131.0905702609451,109,1476.031239,77.9,81,71.47274961768132
18,1467.923499,28.2,22,84.43976740588349,130.9561781602301,93,1517.923499,78.2,87,134.4397674058835
19,1416.627776,27.2,22,21.18463220778428,130.8004172278995,91,1466.627776,77.2,85,71.18463220778428
20,1360.524673,26.4,22,21.04057350283576,129.6742751504453,111,1410.524673,76.4,76,71.04057350283577
21,1338.66105,26.1,22,21.04057350283576,126.4876586918079,99,1388.66105,76.1,83,71.04057350283577
22,1395.53279,25.3,24,21.18463220778428,126.1362440727315,91,1445.53279,75.3,81,71.18463220778428
23,1399.363786,25.0,28,21.04057350283576,125.942509986639,94,1449.363786,75.0,84,71.04057350283577
24,1392.639024,25.5,22,21.04057350283576,127.6306320993777,81,1442.639024,75.5,85,71.04057350283577
25,1386.151574,25.2,22,20.89651479788724,126.581729997003,78,1436.151574,75.2,84,70.89651479788725
26,1367.353837,24.2,20,21.04057350283576,127.1901839639941,78,1417.353837,74.2,87,71.04057350283577
27,1366.774701,23.4,20,21.47274961768132,128.3997783511737,80,1416.774701,73.4,85,71.47274961768132
28,1353.420373,22.5,18,21.76086702757836,130.0862752849844,80,1403.420373,72.5,84,71.76086702757836
29,1343.193704,22.5,17,21.3286909127328,133.2336535550284,87,1393.193704,72.5,87,71.3286909127328
30,1347.493249,22.9,18,21.04057350283576,133.6260376156002,99,1397.493249,72.9,93,71.04057350283577
31,1388.864566,22.5,23,46.28500410009604,135.2434909030569,111,1438.864566,72.5,93,96.28500410009605
32,1426.526385,22.0,23,21.04057350283576,138.6010822980694,98,1476.526385,72.0,94,71.04057350283577
33,1438.289616,22.0,25,21.18463220778428,139.3687611529534,98,1488.289616,72.0,93,71.18463220778428
34,1415.172407,21.7,28,20.89651479788724,140.621085592134,120,1465.172407,71.7,88,70.89651479788725
35,1385.41845,21.4,26,58.47504328388062,143.613859353628,100,1435.41845,71.4,85,108.4750432838806
36,1290.576,21.1,23,20.32027997809317,142.6019150910313,113,1340.576,71.1,87,70.32027997809317
