Hour,C1,C2,C3,C4,C5
0,32,129.3629346263706,1405.260278,87,179.3629346263706
1,31,127.5660561245043,1369.940054,92,177.5660561245043
2,28,126.948536336315,1373.804362,88,176.948536336315
3,27,128.1997231985712,1344.556292,91,178.1997231985712
4,23,128.9978188259182,1401.744605,84,178.9978188259182
5,18,127.8693335767937,1423.535261,87,177.8693335767937
6,17,131.6658844471579,1424.041222,83,181.6658844471579
7,17,135.06670279879,1413.342507,83,185.06670279879
8,18,136.5545218502761,1423.574232,83,186.5545218502761
9,23,140.0279230704372,1422.595636,86,190.0279230704372
10,23,136.5452717889749,1449.479932,87,186.5452717889749
11,24,136.1876131821987,1448.466911,85,186.1876131821987
12,26,136.2044013820083,1472.685458,88,186.2044013820083
13,26,134.5390935097981,1468.395876,94,184.5390935097981
14,25,134.4271405246806,1473.449251,83,184.4271405246806
15,24,132.9568724874369,1477.753967,89,182.9568724874369
16,24,132.7173545545351,1448.054936,90,182.7173545545351
17,21,131.0905702609451,1476.031239,81,181.0905702609451
18,22,130.9561781602301,1517.923499,87,180.9561781602301
19,22,130.8004172278995,1466.627776,85,180.8004172278995
20,22,129.6742751504453,1410.524673,76,179.6742751504453
21,22,126.4876586918079,1388.66105,83,176.4876586918079
22,24,126.1362440727315,1445.53279,81,176.1362440727315
23,28,125.942509986639,1449.363786,84,175.942509986639
24,22,127.6306320993777,1442.639024,85,177.6306320993777
25,22,126.581729997003,1436.151574,84,176.581729997003
26,20,127.1901839639941,1417.353837,87,177.1901839639941
27,20,128.3997783511737,1416.774701,85,178.3997783511737
28,18,130.0862752849844,1403.420373,84,180.0862752849844
29,17,133.2336535550284,1393.193704,87,183.2336535550284
30,18,133.6260376156002,1397.493249,93,183.6260376156002
31,23,135.2434909030569,1438.864566,93,185.2434909030569
32,23,138.6010822980694,1476.526385,94,188.6010822980694
33,25,139.3687611529534,1488.289616,93,189.3687611529534
34,28,140.621085592134,1465.172407,88,190.621085592134
35,26,143.613859353628,1435.41845,85,193.613859353628
36,23,142.6019150910313,1340.576,87,192.6019150910313
37,24,142.9907029056063,1352.684,90,192.9907029056063
38,24,143.9661206314858,1376.668,80,193.9661206314858
39,23,144.6051460118132,1429.857,80,194.6051460118132
40,24,142.6409870406859,1446.177,82,192.6409870406859
41,18,140.5806160755867,1405.516,82,190.5806160755867
42,20,139.9171535712533,1393.335,87,189.9171535712533
43,23,138.4719367514212,1395.011,90,188.4719367514212
44,23,136.4717864459743,1395.024,94,186.4717864459743
45,23,135.4624104300064,1390.966,84,185.4624104300064
46,20,133.7094002819445,1378.657,86,183.7094002819445
47,19,133.1513263784694,1347.345,82,183.1513263784694
48,16,131.9058212393627,1358.288,83,181.9058212393627
49,17,131.4912470591619,1375.159,82,181.4912470591619
50,17,131.1676807242932,1306.391,83,181.1676807242932
51,17,131.2586391570337,1315.364,83,181.2586391570337
52,17,130.3921974586471,1270.98,84,180.3921974586471
53,17,131.7316968241387,1272.166,95,181.7316968241387
54,22,135.835562723344,1276.441,91,185.835562723344
55,27,138.7254585027207,1281.869,93,188.7254585027207
56,30,140.4737913684307,1328.102,87,190.4737913684307
57,30,141.014144394329,1351.221,88,191.014144394329
58,29,141.7356660896704,1402.821,91,191.7356660896704
59,28,142.8747516082212,1486.897,88,192.8747516082212
60,28,142.5778524878903,1544.037,86,192.5778524878903
61,26,142.9248490897039,1558.775,91,192.9248490897039
62,29,143.9563685914122,1575.368,92,193.9563685914122
63,29,145.9900126602616,1609.662,94,195.9900126602616
64,29,144.89632184926,1626.345,86,194.89632184926
65,27,144.6674805397157,1643.917,93,194.6674805397157
66,29,143.5121286134896,1615.224,85,193.5121286134896
67,24,143.4742014895502,1548.784,87,193.4742014895502
68,23,142.123153954404,1498.664,91,192.123153954404
69,25,140.3528015572786,1479.778,91,190.3528015572786
70,26,138.3660494337465,1461.082,87,188.3660494337465
71,26,136.1220359076706,1409.675,82,186.1220359076706
72,28,134.8013150183534,1394.349,84,184.8013150183534
73,24,138.0869748487027,1399.405,82,188.0869748487027
74,19,139.0103647400731,1383.142,83,189.0103647400731
75,17,137.8001587965647,1347.85,82,187.8001587965647
76,18,140.0280228621258,1301.314,82,190.0280228621258
77,20,144.0619893952069,1351.379,91,194.0619893952069
78,21,152.6713821360171,1457.918,88,202.6713821360171
79,25,160.8096896057363,1512.753,85,210.8096896057363
80,27,162.9897550230471,1556.451,89,212.9897550230471
81,27,163.3450880968775,1590.783,92,213.3450880968775
82,28,163.9808956180948,1609.771,88,213.9808956180948
83,29,163.37119969159,1615.115,93,213.37119969159
84,27,162.3028968043389,1599.425,94,212.3028968043389
85,26,163.9911982038401,1604.436,86,213.9911982038401
86,25,166.6570618840195,1596.572,86,216.6570618840195
87,23,167.524762818205,1586.905,85,217.524762818205
88,23,163.2233458612263,1567.191,84,213.2233458612263
89,26,161.2970708837323,1507.431,86,211.2970708837323
90,28,157.6406368467255,1502.758,88,207.6406368467255
91,24,154.2431151243982,1507.105,87,204.2431151243982
92,25,151.5622387149361,1490.334,91,201.5622387149361
93,26,151.0789250959742,1438.617,94,201.0789250959742
94,26,150.1476320894718,1416.43,86,200.1476320894718
95,24,147.2469184561274,1361.573,84,197.2469184561274
96,20,143.1964168268536,1367.004,82,193.1964168268536
97,19,145.379176257316,1365.326,84,195.379176257316
98,18,144.2183667163935,1324.862,83,194.2183667163935
99,17,144.5037687710461,1339.264,82,194.5037687710461
100,15,145.7014444545411,1346.618,81,195.7014444545411
101,17,148.8789155969064,1385.442,85,198.8789155969064
102,23,156.7277416340601,1413.948,83,206.7277416340601
103,28,165.3010170324015,1471.829,82,215.3010170324015
104,26,162.1696678929429,1527.161,97,212.1696678929429
105,28,158.9849451809378,1558.678,88,208.9849451809378
106,29,174.6726096294663,1610.981,85,224.6726096294663
107,30,173.2805181110911,1651.978,88,223.2805181110911
108,31,168.2885073918082,1696.732,87,218.2885073918082
109,32,168.6463793546642,1732.663,97,218.6463793546642
110,35,169.7851244216674,1738.85,96,219.7851244216674
111,32,170.4701207884235,1746.852,87,220.4701207884235
112,33,165.0835937767145,1795.405,87,215.0835937767145
113,34,160.8660690102579,1740.04,96,210.8660690102579
114,35,158.1663178365151,1663.162,95,208.1663178365151
115,36,154.821975298324,1565.712,91,204.821975298324
116,38,153.0652261030837,1611.249,90,203.0652261030837
117,35,151.4467762276865,1584.859,91,201.4467762276865
118,36,148.8683992926417,1566.853,95,198.8683992926417
119,34,146.6378151182816,1523.128,91,196.6378151182816
120,33,143.5418949277791,1512.18,95,193.5418949277791
121,33,143.1842444154862,1509.114,94,193.1842444154862
122,33,142.3917395389624,1484.405,95,192.3917395389624
123,34,135.7189600012801,1416.489,96,185.7189600012801
124,37,142.9999980302245,1559.948,97,192.9999980302245
125,38,148.1897765461299,1611.691,99,198.1897765461299
126,37,152.4693367070497,1604.6,100,202.4693367070497
127,36,155.2165203442874,1615.036,101,205.2165203442874
128,42,157.6445484151282,1639.558,103,207.6445484151282
129,47,158.2751519085188,1651.91,118,208.2751519085188
130,48,159.4069998717589,1658.34,106,209.4069998717589
131,48,158.2901113591882,1721.745,121,208.2901113591882
132,50,156.921301628357,1731.992,115,206.921301628357
133,48,156.4662855978277,1697.462,109,206.4662855978277
134,47,157.413549140522,1690.696,108,207.413549140522
135,48,160.0646836399575,1690.97,107,210.0646836399575
136,47,158.327985083701,1649.241,126,208.327985083701
137,49,149.4366234364391,1641.433,117,199.4366234364391
138,50,151.6148250687869,1632.596,110,201.6148250687869
139,50,149.3072276856905,1616.999,127,199.3072276856905
140,51,148.1299511872101,1597.135,112,198.1299511872101
141,51,146.6100431880051,1542.783,107,196.6100431880051
142,51,144.3104748073766,1486.655,111,194.3104748073766
143,51,142.6483477046295,1454.865,108,192.6483477046295
144,47,141.670549959059,1430.227,108,191.670549959059
145,45,140.4981657903951,1387.433,109,190.4981657903951
146,45,144.1201472905849,1375.801,109,194.1201472905849
147,44,144.3873705856998,1373.853,111,194.3873705856998
148,42,144.4109703535395,1369.424,110,194.4109703535395
149,44,149.5737412033595,1408.307,110,199.5737412033595
150,43,157.7462395285428,1509.117,116,207.7462395285428
151,42,164.5196481109543,1569.347,113,214.5196481109543
152,48,167.6014696447111,1628.704,115,217.6014696447111
153,51,167.4285975789347,1615.155604,116,217.4285975789347
154,54,165.0691741193436,1598.92,117,215.0691741193436
155,50,164.5229351960178,1628.063,122,214.5229351960178
156,47,162.4913877191337,1678.311,113,212.4913877191337
157,46,162.5278525203147,1693.073,113,212.5278525203147
158,44,165.0802669441141,1687.311,108,215.0802669441141
159,45,163.499718821888,1664.053,108,213.499718821888
160,42,157.2792516365288,1654.402,111,207.2792516365288
161,39,154.332547324207,1619.38,113,204.332547324207
162,38,150.8020119795746,1572.156,107,200.8020119795746
163,36,151.7054099471678,1581.399,106,201.7054099471678
164,37,149.8939770812323,1575.909,108,199.8939770812323
165,37,147.8719682883418,1563.505,112,197.8719682883418
166,39,146.7487080885377,1549.601,101,196.7487080885377
167,40,143.9881492238899,1485.718,100,193.9881492238899
168,41,141.8778426669724,1413.436,100,191.8778426669724
169,40,141.6509923586721,1359.921,102,191.6509923586721
170,38,141.0868190808764,1322.148,100,191.0868190808764
171,33,140.9953349899798,1320.283,100,190.9953349899798
172,33,143.6284255573891,1352.458,99,193.6284255573891
173,32,147.835750187679,1370.772,105,197.835750187679
174,39,148.6585794145814,1393.172,106,198.6585794145814
175,42,155.4238595652759,1399.444,119,205.4238595652759
176,44,157.4460095887764,1459.338,112,207.4460095887764
177,46,157.9828445348068,1517.415,110,207.9828445348068
178,43,150.0729712342076,1514.88,107,200.0729712342076
179,41,151.1576168830651,1576.498,105,201.1576168830651
180,37,150.6940713210537,1614.241,106,200.6940713210537
181,35,154.5213792946153,1600.291,101,204.5213792946153
182,30,157.2973370074765,1645.383,99,207.2973370074765
183,33,152.482079719077,1661.039,98,202.482079719077
184,34,143.711770101756,1621.943,97,193.711770101756
185,35,138.4702592603853,1609.504,100,188.4702592603853
186,38,136.6021187405119,1635.234,103,186.6021187405119
187,38,139.3272249768198,1605.703,117,189.3272249768198
188,39,140.3999927568484,1531.284,116,190.3999927568484
189,38,142.1260488798778,1488.657,102,192.1260488798778
190,40,138.9046140621075,1467.775,98,188.9046140621075
191,36,137.1115229326925,1448.269,101,187.1115229326925
192,33,136.3513820955036,1371.573,100,186.3513820955036
193,30,130.7625407246835,1333.055,99,180.7625407246835
194,23,130.1916685975568,1350.757,98,180.1916685975568
195,24,130.7533708833353,1324.245,97,180.7533708833353
196,28,131.3869189564176,1296.633,96,181.3869189564176
197,31,134.7375382226808,1275.888,101,184.7375382226808
198,29,135.5202292027817,1339.584,106,185.5202292027817
199,44,137.0960819206786,1414.093,110,187.0960819206786
200,41,140.6598678317775,1484.165,101,190.6598678317775
201,41,143.0954491427744,1498.4135,106,193.0954491427744
202,40,143.9013937609478,1532.0695,102,193.9013937609478
203,36,143.684992705596,1541.3755,103,193.684992705596
204,29,144.6970153759481,1558.9665,97,194.6970153759481
205,28,143.1519814967848,1585.9565,93,193.1519814967848
206,30,144.7153774090832,1648.9505,99,194.7153774090832
207,34,145.2473672632514,1765.4165,100,195.2473672632514
208,36,145.2943239644343,1737.0125,99,195.2943239644343
209,35,144.4950917266684,1682.982,102,194.4950917266684
210,37,143.0086534490425,1648.058,102,193.0086534490425
211,39,137.7238824274271,1611.042,105,187.7238824274271
212,44,135.3143960389235,1558.62,121,185.3143960389235
213,44,133.5075808944411,1495.502,105,183.5075808944411
214,45,131.6880639352266,1488.492,109,181.6880639352266
215,48,130.0429834516859,1497.555,107,180.0429834516859
216,48,130.1476016268809,1463.936,109,180.1476016268809
